Event,Time,Voltage1,Voltage2
136,-3.800657100e-04,5.993468211e-02,-1.705703206e+00
136,-3.600657100e-04,6.154272205e-02,-2.308718298e+00
136,-3.400657100e-04,6.234674202e-02,-2.509723328e+00
136,-3.200657100e-04,6.234674202e-02,-2.509723328e+00
136,-3.000657100e-04,6.154272205e-02,-2.308718298e+00
136,-2.800657100e-04,6.154272205e-02,-1.504698176e+00
136,-2.600657100e-04,5.913066214e-02,-1.705703206e+00
136,-2.400657100e-04,5.993468211e-02,-1.303693146e+00
136,-2.200657100e-04,5.832664218e-02,-1.705703206e+00
136,-2.000657100e-04,5.993468211e-02,-2.308718298e+00
136,-1.800657100e-04,6.154272205e-02,-1.504698176e+00
136,-1.600657100e-04,6.073870208e-02,-1.705703206e+00
136,-1.400657100e-04,5.993468211e-02,-1.705703206e+00
136,-1.200657100e-04,5.913066214e-02,-1.504698176e+00
136,-1.000657100e-04,5.832664218e-02,-1.303693146e+00
136,-8.006571000e-05,5.832664218e-02,-9.016830848e-01
136,-6.006571000e-05,5.913066214e-02,-1.504698176e+00
136,-4.006571000e-05,5.752262221e-02,-1.102688115e+00
136,-2.006571000e-05,5.511056230e-02,-7.006780544e-01
136,-6.571000000e-08,8.646734106e-02,-1.095193460e+01
136,1.993429000e-05,9.209548083e-02,-1.115293964e+01
136,3.993429000e-05,9.048744090e-02,-8.539874240e+00
136,5.993429000e-05,8.646734106e-02,-6.328818906e+00
136,7.993429000e-05,8.566332109e-02,-5.122788723e+00
136,9.993429000e-05,8.244724122e-02,-5.122788723e+00
136,1.199342900e-04,8.164322125e-02,-5.122788723e+00
136,1.399342900e-04,7.842714138e-02,-4.318768602e+00
136,1.599342900e-04,7.360302157e-02,-3.112738419e+00
136,1.799342900e-04,7.279900160e-02,-2.911733389e+00
136,1.999342900e-04,6.958292173e-02,-3.313743450e+00
136,2.199342900e-04,6.717086182e-02,-3.916758541e+00
136,2.399342900e-04,6.556282189e-02,-3.715753510e+00
136,2.599342900e-04,6.556282189e-02,-3.112738419e+00
136,2.799342900e-04,6.556282189e-02,-2.911733389e+00
136,2.999342900e-04,6.395478195e-02,-3.514748480e+00
136,3.199342900e-04,6.315076198e-02,-2.911733389e+00
136,3.399342900e-04,6.315076198e-02,-3.112738419e+00
136,3.599342900e-04,6.315076198e-02,-4.519773632e+00
136,3.799342900e-04,5.993468211e-02,-3.514748480e+00
136,3.999342900e-04,6.154272205e-02,-3.715753510e+00
136,4.199342900e-04,6.154272205e-02,-3.715753510e+00
136,4.399342900e-04,6.234674202e-02,-2.911733389e+00
136,4.599342900e-04,6.073870208e-02,-3.715753510e+00
136,4.799342900e-04,5.993468211e-02,-3.112738419e+00
136,4.999342900e-04,5.832664218e-02,-3.313743450e+00
136,5.199342900e-04,5.832664218e-02,-3.313743450e+00
136,5.399342900e-04,5.671860224e-02,-2.710728358e+00
136,5.599342900e-04,5.671860224e-02,-2.710728358e+00
136,5.799342900e-04,5.832664218e-02,-2.710728358e+00
136,5.999342900e-04,5.913066214e-02,-2.107713267e+00
136,6.199342900e-04,5.832664218e-02,-1.504698176e+00
136,6.399342900e-04,6.073870208e-02,-1.102688115e+00
136,6.599342900e-04,6.234674202e-02,-9.016830848e-01
136,6.799342900e-04,6.234674202e-02,-7.006780544e-01
136,6.999342900e-04,6.073870208e-02,-1.102688115e+00
136,7.199342900e-04,5.993468211e-02,-9.016830848e-01
136,7.399342900e-04,6.073870208e-02,-7.006780544e-01
136,7.599342900e-04,5.913066214e-02,-7.006780544e-01
136,7.799342900e-04,6.073870208e-02,-9.016830848e-01
136,7.999342900e-04,5.993468211e-02,-1.102688115e+00
136,8.199342900e-04,6.073870208e-02,-9.016830848e-01
136,8.399342900e-04,5.913066214e-02,-9.016830848e-01
136,8.599342900e-04,5.832664218e-02,-4.996730240e-01
136,8.799342900e-04,6.073870208e-02,-9.016830848e-01
136,8.999342900e-04,6.073870208e-02,-1.906708237e+00
136,9.199342900e-04,5.993468211e-02,-1.906708237e+00
136,9.399342900e-04,5.993468211e-02,-2.911733389e+00
136,9.599342900e-04,5.993468211e-02,-2.308718298e+00
136,9.799342900e-04,5.832664218e-02,-1.906708237e+00
136,9.999342900e-04,5.752262221e-02,-1.303693146e+00
136,1.019934290e-03,5.832664218e-02,-1.303693146e+00
136,1.039934290e-03,5.671860224e-02,-1.906708237e+00
136,1.059934290e-03,5.671860224e-02,-1.504698176e+00
136,1.079934290e-03,5.832664218e-02,-1.303693146e+00
136,1.099934290e-03,5.913066214e-02,-9.016830848e-01
