Event,Voltage1,Voltage2
22,-0.3779774042,4.655778765
22,-0.3216960064,4.655778765
22,-0.2734548083,4.575376742
22,-0.2493342093,4.293969664
22,-0.2010930112,4.253768653
22,-0.2171734106,4.213567642
22,-0.2091332109,4.253768653
22,-0.1769724122,4.052763597
22,-0.1769724122,3.891959552
22,-0.1528518131,3.81155753
22,-0.1528518131,3.690954496
22,-0.1528518131,3.731155507
22,-0.1930528115,3.530150451
22,-0.1608920128,3.570351462
22,-0.1287312141,3.610552474
22,-0.1448116134,3.530150451
22,-0.1287312141,3.329145395
22,-0.1528518131,3.288944384
22,-0.1528518131,3.369346406
22,-0.1528518131,3.329145395
22,-0.1448116134,3.329145395
22,-0.1126508147,3.329145395
22,-0.1287312141,3.329145395
22,-0.1287312141,3.288944384
22,-0.1608920128,3.288944384
22,-0.1689322125,3.248743373
22,-0.1769724122,3.208542362
